U_ID,MOD_ID,GLAC_ID,MOD_H,GLAC_H,DEBRIS,FRAC_GLAC,ICE_DEPTH
1764,38113,1426,5402,5446.18,0,0.04866189741687849,44.18
1765,38113,1427,5402,5434.08,0,0.04174341021975875,32.08
1766,38113,1434,5402,5433.13,0,0.3446669147753045,31.13
1767,38113,1435,5402,5405.14,0,0.012842421070775833,3.14
1768,38113,1436,5402,5426.08,0,0.14914186531957238,24.08
1769,38114,1437,5093,5100.63,0,0.00940182462028414,7.63
1770,38114,1438,5093,5101.79,0,0.004412326668787748,8.79
1771,38115,1438,5033,5041.79,0,0.0016421941245799536,8.79
1772,38368,1421,5769,5887.9,0,0.04792716173254628,118.9
1773,38369,1421,5691,5809.9,0,0.9722733757574559,118.9
1774,38370,1421,5480,5598.9,0,0.9526009034404754,118.9
1775,38371,1421,5068,5186.9,0,0.5560659203611915,118.9
1776,38371,1439,5068,5176.53,1,0.003527721313647926,108.53
1777,38372,1421,4885,5003.9,0,0.5120199355743974,118.9
1778,38372,1439,4885,4993.53,1,0.013176313972752075,108.53
1779,38373,1421,4867,4985.9,0,0.2675484625153467,118.9
1780,38373,1439,4867,4975.53,1,0.01349671248704195,108.53
1781,38374,1421,5061,5179.9,0,0.6584777675719261,118.9
1782,38375,1421,5129,5247.9,0,0.3011618663556315,118.9
1783,38375,1421,5129,5247.9,0,0.1175338540557546,118.9
1784,38375,1422,5129,5156.71,0,0.007862049441639334,27.71
1785,38376,1421,5112,5230.9,0,0.5962006330019086,118.9
1786,38376,1429,5112,5153.84,0,0.02614011761490628,41.84
1787,38377,1429,5272,5313.84,0,0.5520641594872308,41.84
1788,38377,1431,5272,5287.66,0,0.006109099207929336,15.66
1789,38378,1431,5090,5105.66,0,0.0542981341939026,15.66
1790,38387,1440,4857,4869.74,0,0.021346942273341118,12.74
1791,38388,1432,5409,5452.51,0,0.5286843762851506,43.51
1792,38388,1440,5409,5421.74,0,0.021936617822329512,12.74
1793,38389,1432,5112,5155.51,0,0.20612713748934866,43.51
1794,38392,1441,5188,5202.6,0,0.09126931311560887,14.6
1795,38393,1434,5059,5090.13,0,0.0967657443908304,31.13
1796,38393,1436,5059,5083.08,0,0.1078433904113397,24.08
1797,38394,1437,5039,5046.63,0,0.022950895744342358,7.63
1798,38394,1438,5039,5047.79,0,0.027323285288194894,8.79
1799,38395,1438,5003,5011.79,0,0.005471015969341621,8.79
1800,38649,1421,6200,6318.9,0,0.829756355149895,118.9
1801,38650,1421,5466,5584.9,0,0.630078884742558,118.9
1802,38651,1421,4861,4979.9,0,0.8444193656922728,118.9
1803,38651,1439,4861,4969.53,1,0.056602853360817766,108.53
1804,38652,1421,4528,4646.9,0,0.10505820866803266,118.9
1805,38652,1421,4528,4646.9,0,0.041553439727333726,118.9
1806,38652,1439,4528,4636.53,1,0.8417594560780972,108.53
1807,38653,1421,4509,4627.9,0,0.4548154865826368,118.9
1808,38653,1439,4509,4617.53,1,0.37782316171654834,108.53
1809,38654,1421,4544,4662.9,0,0.05041914076258289,118.9
1810,38654,1421,4544,4662.9,0,0.008997216146331281,118.9
1811,38654,1439,4544,4652.53,1,0.43013788651381807,108.53
1812,38655,1421,4567,4685.9,0,3.940899395393208e-4,118.9
1813,38655,1421,4567,4685.9,0,0.025354460800781846,118.9
1814,38655,1439,4567,4675.53,1,0.018147241349122253,108.53
1815,38656,1421,4515,4633.9,0,0.1163539794473052,118.9
1816,38656,1429,4515,4556.84,0,0.00381000090477895,41.84
1817,38656,1439,4515,4623.53,1,0.1939802964166589,108.53
1818,38657,1429,4616,4657.84,0,0.08661819397632778,41.84
1819,38662,1439,4152,4260.53,1,0.02036968282211572,108.53
1820,38663,1439,4099,4207.53,1,0.15276946968756616,108.53
1821,38664,1439,4041,4149.53,1,0.040563280603287274,108.53
1822,38667,1440,4947,4959.74,0,0.021481735801206728,12.74
1823,38667,1442,4947,4975.89,0,0.0967752533288449,28.89
1824,38667,1443,4947,4970.87,0,0.09211514362720959,23.87
1825,38668,1432,5366,5409.51,0,0.10436721586668492,43.51
1826,38668,1440,5366,5378.74,0,0.006539600103434175,12.74
1827,38668,1442,5366,5394.89,0,8.429581857728772e-5,28.89
1828,38668,1443,5366,5389.87,0,0.14547712912189495,23.87
1829,38668,1444,5366,5392.63,0,0.3212741959078461,26.63
1830,38929,1421,6363,6481.9,0,0.7623097957757413,118.9
1831,38930,1421,5963,6081.9,0,0.5837031235513498,118.9
1832,38930,1445,5963,6039.03,0,0.022254603994831444,76.03
1833,38931,1421,5091,5209.9,0,0.8035866966046095,118.9
1834,38932,1421,4717,4835.9,0,0.15625238903079253,118.9
1835,38932,1421,4717,4835.9,0,0.13138969153843075,118.9
1836,38932,1439,4717,4825.53,1,0.18020258600907588,108.53
1837,38932,1445,4717,4793.03,0,0.008645794896002859,76.03
1838,38933,1421,4498,4616.9,0,0.046431495880377656,118.9
1839,38933,1421,4498,4616.9,0,0.011351093627069146,118.9
1840,38933,1439,4498,4606.53,1,0.5588653726499975,108.53
1841,38934,1421,4415,4533.9,0,0.052888844932798294,118.9
1842,38934,1439,4415,4523.53,1,0.8961106257358548,108.53
1843,38935,1439,4389,4497.53,1,0.8965617203366757,108.53
1844,38936,1439,4357,4465.53,1,0.8167448773942407,108.53
1845,38937,1439,4324,4432.53,1,0.664841754139414,108.53
1846,38938,1439,4303,4411.53,1,0.5958660396564472,108.53
1847,38939,1439,4255,4363.53,1,0.5236977929919194,108.53
1848,38940,1439,4275,4383.53,1,0.3845144128532354,108.53
1849,38941,1439,4186,4294.53,1,0.6788965318718478,108.53
1850,38942,1439,4152,4260.53,1,0.7865405399049241,108.53
1851,38943,1439,4114,4222.53,1,0.5102203578571081,108.53
1852,38944,1439,4053,4161.53,1,0.006151218886079266,108.53
1853,38947,1442,5104,5132.89,0,0.2504464166820422,28.89
1854,38948,1442,5187,5215.89,0,0.036428307532799666,28.89
1855,38948,1443,5187,5210.87,0,0.014388093418501318,23.87
1856,38948,1444,5187,5213.63,0,0.0021459180794209244,26.63
1857,39209,1421,6538,6656.9,0,0.21480921329815872,118.9
1858,39209,1445,6538,6614.03,0,0.09349246767237969,76.03
1859,39210,1421,6597,6715.9,0,0.07626997084903997,118.9
1860,39210,1445,6597,6673.03,0,0.8952449647247447,76.03
1861,39211,1421,6323,6441.9,0,0.22304884916296602,118.9
1862,39211,1445,6323,6399.03,0,0.7600987464423576,76.03
1863,39212,1445,5373,5449.03,0,0.5235534555959054,76.03
1864,39213,1421,4945,5063.9,0,0.014305112650759517,118.9
1865,39214,1421,4499,4617.9,0,0.001724389195382595,118.9
1866,39214,1439,4499,4607.53,1,0.42063537570129333,108.53
1867,39215,1439,4407,4515.53,1,0.5925154067626,108.53
1868,39216,1439,4347,4455.53,1,0.48042007345828414,108.53
1869,39217,1439,4315,4423.53,1,0.6433695496001541,108.53
1870,39218,1439,4281,4389.53,1,0.7434892244637012,108.53
